id,name,address,latitude,longitude,category,page,price,rating,review_cnt,call_number,city_id
1,소넷,소넷,37.52628,127.03704,프렌치 컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sonnet-1241886,가격대 보통,3.7,3.0,02-6953-5999,1
2,묵정,묵정,37.56181,127.00053,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mukjung,가격대 보통,4.4,5.0,,7
3,샤콘느,샤콘느,37.50274,127.03376,프렌치 컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/chaconne,가격대 약간 높음,5.0,2.0,010-2693-6392,1
4,평양집,평양집,35.21213,129.00586,만두,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/pyeongyangjip,가격대 낮음,,0.0,051-331-5455,27
5,울트라 바이트,울트라 바이트,35.15773,129.12287,컨템퍼러리,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/ultra-bite,가격대 낮음,5.0,1.0,0503-7151-1563,6
6,토오루,토오루,35.15513,129.06638,일식,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/tooru,가격대 보통,4.2,11.0,,8
7,오일제,오일제,37.53254,126.97473,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/oilje,가격대 낮음,4.1,16.0,070-8831-5534,11
8,후제,후제,37.48207,127.04473,컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/fuje,가격대 보통,4.9,19.0,,1
9,두리,두리,37.53795,126.96352,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/doori,가격대 약간 높음,5.0,2.0,0507-1409-3655,11
10,오니바,오니바,37.52515,127.0457,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/onyva,가격대 보통,3.9,14.0,02-516-3352,1
11,비움,비움,37.52239,127.05439,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/bium,가격대 높음,5.0,1.0,02-549-8889,1
12,기와강,기와강,37.52107,127.02893,코리안 컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/giwakang,가격대 높음,5.0,2.0,02-517-2511,1
13,소바키리 스즈,소바키리 스즈,37.55949,127.01243,소바,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sobakeeri-suzu,가격대 낮음,3.7,17.0,02-2256-6986,7
14,고사리 익스프레스,고사리 익스프레스,37.56626,127.02001,비건,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gosari-express,가격대 낮음,4.5,46.0,02-2039-3140,7
15,서교난면방,서교난면방,37.55359,126.91231,국수,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/seokyonanmyunbang,가격대 낮음,4.3,43.0,0507-1487-0943,3
16,곰탕랩,곰탕랩,37.51883,127.02521,곰탕,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/gomtang-lab,가격대 낮음,3.9,23.0,02-517-4656,1
17,옥돌현옥,옥돌현옥,37.50153,127.12408,냉면,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/okdol-heyonok,가격대 낮음,4.2,121.0,02-404-4824,18
18,정짓간,정짓간,35.09561,128.96248,돼지국밥,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/jeongjitgan,가격대 낮음,4.7,30.0,0507-1381-2901,30
19,미필담,미필담,37.54658,126.91419,만두,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mipildam,가격대 낮음,4.4,72.0,,3
20,마나오,마나오,37.53411,127.00613,타이,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/manao,가격대 보통,3.5,30.0,,11
21,한월관,한월관,35.15469,129.11854,곰탕,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/hanwolgwan,가격대 낮음,4.6,49.0,051-711-7025,6
22,본 앤 브레드,본 앤 브레드,35.16013,129.16468,스테이크하우스,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/born-and-bred-1213375,가격대 높음,4.1,8.0,051-749-2400,14
23,니시무라멘,니시무라멘,37.56337,126.92526,라멘,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/nishimuramen,가격대 낮음,4.1,83.0,0507-1494-1389,3
24,팀호완,팀호완,37.5115769,127.0567982,딤섬,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tim-ho-wan,가격대 낮음,3.4,312.0,0507-1374-3082,1
25,주052,주052,37.56344,127.03766,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sool052,가격대 보통,,0.0,02-2281-0343,2
26,야키토리 묵,야키토리 묵,37.56461,126.92449,야키토리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yakitori-mook,가격대 낮음,4.2,115.0,070-8835-3433,3
27,도림,도림,37.56531,126.981,중식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/toh-lim,가격대 높음,4.6,28.0,02-317-7101,7
28,트리드,트리드,37.5267383,127.0416702,"컨템퍼러리, 아메리칸 컨템퍼러리",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/trid,가격대 약간 높음,2.9,87.0,02-512-8312,1
29,유 유안,유 유안,37.57049,126.97545,중식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yu-yuan,가격대 높음,4.0,54.0,02-6388-5500,9
30,외고집 설렁탕,외고집 설렁탕,37.51097,127.05388,설렁탕,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/oegojip-sellongtang,가격대 낮음,3.7,88.0,02-567-5225,1
31,레스토랑 오와이,레스토랑 오와이,37.522219,127.04329,"프렌치, 컨템퍼러리",https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/restaurant-oy,가격대 높음,4.4,24.0,02-515-7250,1
32,온지음,온지음,37.58048,126.97345,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/onjium,가격대 높음,4.4,27.0,02-6952-0024,9
33,피에르 가니에르,피에르 가니에르,37.56529,126.98103,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/pierre-gagnaire,가격대 높음,4.0,34.0,02-317-7181,7
34,토라후구가,토라후구가,35.16417,129.1699,복어,https://guide.michelin.com/kr/ko/busan-region/busan_1025838/restaurant/torafuguga,가격대 보통,5.0,4.0,051-743-5432,14
35,하쿠시,하쿠시,37.52414,127.03227,일식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hakusi,가격대 높음,5.0,1.0,010-7316-6212,1
36,숙수도가,숙수도가,37.5935,127.01539,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/sooksoodoga,가격대 보통,,0.0,010-8231-2627,22
37,합정옥,합정옥,37.54944,126.91037,곰탕,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/hapjeongok,가격대 낮음,3.7,115.0,02-322-4822,3
38,텐지몽,텐지몽,37.52237,127.05429,일식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/tenjimon,가격대 보통,4.0,10.0,010-7449-3010,1
39,쥬에,쥬에,37.53744,127.01277,중식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jue,가격대 높음,4.2,82.0,02-798-9700,11
40,에빠뉘,에빠뉘,37.52187,127.04254,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/epanoui,가격대 약간 높음,4.0,16.0,02-548-2020,1
41,베이스 이즈 나이스,베이스 이즈 나이스,37.53958,126.94908,베지테리안,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/base-is-nice,가격대 낮음,4.3,47.0,,3
42,진진,진진,37.55777,126.91324,중식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/jin-jin,가격대 보통,3.6,137.0,070-5035-8878,3
43,무궁화,무궁화,37.56533,126.981,한식,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mugunghwa,가격대 높음,4.3,31.0,02-317-7061,7
44,만족오향족발,만족오향족발,37.56324,126.97598,족발,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/manjok-ohyang-jokbal,가격대 낮음,3.9,349.0,02-753-4755,7
45,유림면,유림면,37.56419,126.9761,메밀국수,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/yurimmyeon,가격대 낮음,,0.0,02-755-0659,7
46,봉산옥,봉산옥,37.48336,127.01242,만두,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/bongsanok,가격대 낮음,3.6,250.0,02-525-2282,5
47,테판,테판,37.53929,126.9971,테판야키,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/teppan,가격대 약간 높음,4.3,61.0,02-799-8272,11
48,본 앤 브레드,본 앤 브레드,37.56697,127.04468,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/born-and-bred,가격대 약간 높음,3.4,38.0,02-2294-5005,2
49,미진,미진,37.5708,126.97985,메밀국수,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/mijin,가격대 낮음,3.8,780.0,02-732-1954,9
50,봉밀가,봉밀가,37.51598,127.0424,냉면,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/bongmilga,가격대 낮음,4.4,194.0,02-546-2305,1
51,무오키,무오키,37.51896,127.04222,컨템퍼러리,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/muoki,가격대 약간 높음,4.4,54.0,010-2948-4171,1
52,비스트로 드 욘트빌,비스트로 드 욘트빌,37.52602,127.04126,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/bistrot-de-yountville,가격대 보통,4.0,62.0,02-541-1550,1
53,보름쇠,보름쇠,37.509328,127.056611,바비큐,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/boreumsae,가격대 보통,3.4,38.0,02-569-9967,1
54,나인스 게이트,나인스 게이트,37.5644,126.97969,프렌치,https://guide.michelin.com/kr/ko/seoul-capital-area/kr-seoul/restaurant/the-ninth-gate,가격대 약간 높음,4.2,33.0,02-317-0366,7
